NGRIP CH4 DATA:,,,,,,,
Column 1: NGRIP depth (m),,,,,,,
"Column 2: Gas age, ss09sea06bm scale",,,,,,,
"Column 3: Gas age, AICC 2012 scale (Veres et al., 2013, Clim. Past 9)",,,,,,,
Column 4: CH4 concentration (ppb),,,,,,,
Column 5: 1-sigma uncertainty CH4 concentration (ppb),,,,,,,
Column 6: Published in,,,,,,,
,,,,,,,
1,2,3,4,5,6,,
depth,age ss09sea06bm,age AICC 2012,ch4,error,published in,,
(m),(years BP),(years BP),(ppb),(ppb),,,
1745.175,19215.1,20080.8,385.8,5.9,Baumgartner et al. (2012),,
1746.825,19281.6,20155.2,384.9,5.9,Baumgartner et al. (2012),,
1747.375,19304.3,20179.1,399.1,5.9,Baumgartner et al. (2012),,
1748.475,19350.2,20226.4,380.1,5.9,Baumgartner et al. (2012),,
1749.575,19393.1,20275.2,390.0,5.9,Baumgartner et al. (2012),,
1750.675,19437.7,20327.7,381.7,5.9,Baumgartner et al. (2012),,
1751.775,19482.4,20381.7,410.8,5.9,Baumgartner et al. (2012),,
1752.875,19527.3,20434.5,410.2,5.9,Baumgartner et al. (2012),,
1754.475,19593.8,20507.9,407.2,5.9,Baumgartner et al. (2012),,
1755.075,19620.2,20535.9,384.3,5.9,Baumgartner et al. (2012),,
1756.175,19672.9,20586.5,396.5,5.9,Baumgartner et al. (2012),,
1757.275,19728.7,20638.1,394.2,5.9,Baumgartner et al. (2012),,
1758.375,19785.3,20690.9,398.0,5.9,Baumgartner et al. (2012),,
1759.475,19842.1,20743.1,381.5,5.9,Baumgartner et al. (2012),,
1761.125,19931.5,20825.8,377.8,5.9,Baumgartner et al. (2012),,
1761.675,19959.5,20854.7,405.5,5.9,Baumgartner et al. (2012),,
1762.775,20014.0,20912.0,374.8,5.9,Baumgartner et al. (2012),,
1763.875,20063.6,20970.5,399.1,5.9,Baumgartner et al. (2012),,
1764.975,20117.7,21031.1,400.0,5.9,Baumgartner et al. (2012),,
1766.075,20177.6,21092.1,398.0,5.9,Baumgartner et al. (2012),,
1767.175,20244.1,21149.5,390.7,5.9,Baumgartner et al. (2012),,
1768.825,20350.1,21235.9,391.4,5.9,Baumgartner et al. (2012),,
1769.375,20387.0,21265.2,404.6,5.9,Baumgartner et al. (2012),,
1770.475,20458.9,21324.5,423.7,5.9,Baumgartner et al. (2012),,
1771.575,20529.0,21384.1,395.1,5.9,Baumgartner et al. (2012),,
1772.675,20596.4,21444.4,409.6,5.9,Baumgartner et al. (2012),,
1773.775,20665.4,21502.8,385.9,5.9,Baumgartner et al. (2012),,
1774.875,20729.8,21563.0,388.2,5.9,Baumgartner et al. (2012),,
1775.975,20792.6,21623.4,404.7,5.9,Baumgartner et al. (2012),,
1776.025,20795.9,21626.2,374.6,5.9,Baumgartner et al. (2012),,
1777.075,20857.4,21683.3,384.8,5.9,Baumgartner et al. (2012),,
1778.175,20922.2,21740.7,380.4,5.9,Baumgartner et al. (2012),,
1779.275,20984.4,21800.5,375.6,5.9,Baumgartner et al. (2012),,
1780.375,21044.3,21858.4,375.5,5.9,Baumgartner et al. (2012),,
1781.475,21104.7,21917.3,384.8,5.9,Baumgartner et al. (2012),,
1781.525,21108.0,21920.0,381.3,5.9,Baumgartner et al. (2012),,
1781.575,21111.2,21922.8,379.2,5.9,Baumgartner et al. (2012),,
1781.625,21114.4,21925.6,382.2,5.9,Baumgartner et al. (2012),,
1781.675,21117.4,21928.4,372.2,5.9,Baumgartner et al. (2012),,
1782.575,21173.5,21978.9,365.5,5.9,Baumgartner et al. (2012),,
1783.675,21239.3,22041.0,375.2,5.9,Baumgartner et al. (2012),,
1784.775,21296.7,22103.3,371.3,5.9,Baumgartner et al. (2012),,
1786.925,21403.2,22221.9,375.7,5.9,Baumgartner et al. (2012),,
1787.475,21430.1,22252.7,372.8,5.9,Baumgartner et al. (2012),,
1788.625,21482.5,22315.4,392.1,5.9,Baumgartner et al. (2012),,
1788.675,21484.0,22318.0,389.4,5.9,Baumgartner et al. (2012),,
1789.175,21506.4,22344.4,376.6,5.9,Baumgartner et al. (2012),,
1790.275,21555.1,22400.8,370.1,5.9,Baumgartner et al. (2012),,
1791.375,21602.3,22455.8,377.7,5.9,Baumgartner et al. (2012),,
1792.475,21648.7,22510.9,361.6,5.9,Baumgartner et al. (2012),,
1792.525,21650.4,22513.4,368.9,5.9,Baumgartner et al. (2012),,
1794.075,21729.0,22594.5,394.6,5.9,Baumgartner et al. (2012),,
1794.675,21761.3,22626.8,399.8,5.9,Baumgartner et al. (2012),,
1795.775,21817.1,22683.4,409.3,5.9,Baumgartner et al. (2012),,
1795.825,21820.1,22685.9,414.4,5.9,Baumgartner et al. (2012),,
1796.925,21871.5,22739.7,431.1,5.9,Baumgartner et al. (2012),,
1797.975,21921.9,22795.1,407.0,5.9,Baumgartner et al. (2012),,
1798.025,21924.1,22797.7,408.4,5.9,Baumgartner et al. (2012),,
1799.075,21972.3,22852.4,422.0,5.9,Baumgartner et al. (2012),,
1800.175,22019.7,22902.7,406.7,5.9,Baumgartner et al. (2012),,
1801.275,22067.2,22952.9,427.9,5.9,Baumgartner et al. (2012),,
1801.325,22069.3,22955.4,401.3,5.9,Baumgartner et al. (2012),,
1802.425,22112.7,23008.8,408.3,5.9,Baumgartner et al. (2012),,
1803.475,22152.6,23059.0,431.8,5.9,Baumgartner et al. (2012),,
1804.575,22193.4,23114.4,424.5,5.9,Baumgartner et al. (2012),,
1804.625,22195.0,23117.1,427.6,5.9,Baumgartner et al. (2012),,
1805.125,22214.8,23143.4,427.3,5.9,Baumgartner et al. (2012),,
1806.775,22279.7,23222.2,426.5,5.9,Baumgartner et al. (2012),,
1807.875,22322.7,23267.6,430.8,5.9,Baumgartner et al. (2012),,
1807.925,22324.4,23269.6,426.2,5.9,Baumgartner et al. (2012),,
1807.975,22326.6,23271.6,430.8,5.9,Baumgartner et al. (2012),,
1808.025,22329.2,23273.7,406.8,5.9,Baumgartner et al. (2012),,
